epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,148.925,0.86308,0.65641,1.2355,0.84516,0.878,0.9475,0.57892,1.33643,0.87875,2.10185,0.0007294,0.0007294,0.0007294
43,152.395,0.91516,0.65371,1.26256,0.9039,0.863,0.96786,0.61198,1.27275,0.7431,2.01294,0.0007228,0.0007228,0.0007228
44,155.818,0.90924,0.59896,1.27292,0.9061,0.87851,0.97595,0.56029,1.47554,0.81899,2.27836,0.0007162,0.0007162,0.0007162
45,159.253,0.95823,0.61392,1.28656,0.89906,0.85824,0.975,0.64349,1.12154,0.71288,1.76007,0.0007096,0.0007096,0.0007096
46,162.926,0.8703,0.55656,1.22727,0.84922,0.81564,0.92645,0.60178,1.12978,0.92375,1.84461,0.000703,0.000703,0.000703
47,166.361,0.94301,0.59143,1.30958,0.86985,0.82154,0.97078,0.64839,1.13468,0.78983,1.85914,0.0006964,0.0006964,0.0006964
48,169.912,0.88277,0.55328,1.25245,0.96449,0.79005,0.97298,0.61771,1.24748,0.78821,1.96108,0.0006898,0.0006898,0.0006898
49,173.38,0.79333,0.52451,1.18201,0.83873,0.82497,0.92412,0.62216,1.09993,1.07714,1.80668,0.0006832,0.0006832,0.0006832
50,176.833,0.88939,0.59202,1.25228,0.79559,0.72622,0.83674,0.53778,1.26293,1.49232,1.9421,0.0006766,0.0006766,0.0006766
51,180.279,0.80309,0.53278,1.20641,0.79125,0.88146,0.85836,0.55806,1.09515,1.04406,1.81279,0.00067,0.00067,0.00067
52,183.795,0.82624,0.55162,1.20543,0.80852,0.88931,0.95497,0.57434,1.2883,0.78586,2.11317,0.0006634,0.0006634,0.0006634
53,187.221,0.80471,0.51123,1.20419,0.91807,0.82692,0.9775,0.60876,1.22478,0.69024,2.01847,0.0006568,0.0006568,0.0006568
54,190.667,0.83475,0.53342,1.20365,0.92037,0.91934,0.96833,0.65328,1.09359,0.63361,1.83114,0.0006502,0.0006502,0.0006502
55,194.312,0.83874,0.58573,1.22779,0.89717,0.92127,0.96269,0.59877,1.20526,0.67009,1.93731,0.0006436,0.0006436,0.0006436
56,197.834,0.78063,0.50934,1.17315,0.93817,0.9021,0.96195,0.60937,1.17605,0.62503,1.88536,0.000637,0.000637,0.000637
57,201.267,0.82335,0.55385,1.22808,0.86634,0.87688,0.94367,0.5892,1.17844,0.7413,1.90745,0.0006304,0.0006304,0.0006304
58,204.723,0.8293,0.54618,1.21063,0.78809,0.90957,0.95622,0.59837,1.16337,0.85058,1.89091,0.0006238,0.0006238,0.0006238
59,208.24,0.7756,0.47578,1.15868,0.83613,0.86603,0.96624,0.62146,1.11831,0.81879,1.84042,0.0006172,0.0006172,0.0006172
60,211.695,0.83807,0.53541,1.2404,0.78095,0.93491,0.93536,0.55784,1.25066,0.80713,2.0603,0.0006106,0.0006106,0.0006106
61,215.093,0.77313,0.5157,1.18364,0.76167,0.9408,0.93363,0.60094,1.12146,0.74034,1.87887,0.000604,0.000604,0.000604
62,218.556,0.73419,0.46474,1.15074,0.85018,0.95191,0.97167,0.62693,1.13711,0.60262,1.87632,0.0005974,0.0005974,0.0005974
63,222.048,0.77744,0.51572,1.1757,0.86946,0.90346,0.95786,0.61552,1.18498,0.65123,1.92511,0.0005908,0.0005908,0.0005908
64,225.425,0.77272,0.51175,1.17372,0.89095,0.79823,0.8991,0.56165,1.15661,0.82699,1.9252,0.0005842,0.0005842,0.0005842
65,228.93,0.72056,0.46317,1.15767,0.86648,0.77976,0.83892,0.50101,1.20589,1.0038,1.99868,0.0005776,0.0005776,0.0005776
66,232.486,0.77789,0.50772,1.14145,0.84717,0.83324,0.90429,0.54607,1.213,0.98379,2.02408,0.000571,0.000571,0.000571
67,235.951,0.69646,0.47103,1.12913,0.83264,0.83837,0.85451,0.5281,1.18767,1.00599,2.02194,0.0005644,0.0005644,0.0005644
68,239.446,0.76994,0.53688,1.18847,0.84699,0.92308,0.96929,0.58613,1.28288,0.67112,2.14697,0.0005578,0.0005578,0.0005578
69,242.929,0.71074,0.45579,1.09137,0.96114,0.90526,0.975,0.61008,1.1939,0.57225,2.03508,0.0005512,0.0005512,0.0005512
70,246.385,0.73764,0.507,1.17702,0.9511,0.82716,0.96088,0.60877,1.22357,0.68066,2.02738,0.0005446,0.0005446,0.0005446
71,249.826,0.75115,0.4815,1.14551,0.90206,0.84308,0.93667,0.58844,1.19792,0.774,1.98567,0.000538,0.000538,0.000538
72,253.361,0.7291,0.50306,1.16986,0.93549,0.80895,0.9185,0.53401,1.28624,0.82552,2.18076,0.0005314,0.0005314,0.0005314
73,256.793,0.69616,0.44762,1.1034,0.93302,0.82074,0.94985,0.57393,1.2633,0.73069,2.13959,0.0005248,0.0005248,0.0005248
74,260.3,0.72605,0.4625,1.17546,0.87842,0.90012,0.97929,0.60349,1.2472,0.64669,2.1413,0.0005182,0.0005182,0.0005182
75,263.709,0.68914,0.47044,1.09838,0.8668,0.9454,0.97157,0.61744,1.20787,0.60822,2.07543,0.0005116,0.0005116,0.0005116
76,267.325,0.7299,0.4939,1.14672,0.91538,0.95072,0.99167,0.63102,1.14159,0.54876,2.0015,0.000505,0.000505,0.000505
77,270.93,0.71864,0.47435,1.13149,0.88115,0.90619,0.96167,0.61682,1.17034,0.66218,2.00028,0.0004984,0.0004984,0.0004984
78,274.523,0.66826,0.44698,1.12817,0.7935,0.90367,0.94257,0.5974,1.17042,0.7799,1.94468,0.0004918,0.0004918,0.0004918
79,278.075,0.67207,0.43677,1.08191,0.92866,0.80974,0.96833,0.60458,1.22547,0.74799,2.0426,0.0004852,0.0004852,0.0004852
